Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
Aitor Paredes,Athletic Bilbao,ZAGUEIRO,SPA1,-0.28,-1.46,-0.06,38.0,14.0,57.0
G. Pezzella,Real Betis,ZAGUEIRO,SPA1,-1.02,-1.23,-1.31,19.0,18.0,16.0
A. Witsel,Atlético Madrid,ZAGUEIRO,SPA1,0.4,-0.61,-0.7,62.0,28.0,45.0
Ignasi Miquel,Granada,ZAGUEIRO,SPA1,-0.25,-0.05,0.47,39.0,47.0,69.0
D. Blind,Girona,ZAGUEIRO,SPA1,1.83,-0.92,4.32,97.0,22.0,99.0
Unai Núñez,Celta de Vigo,ZAGUEIRO,SPA1,0.59,1.68,0.22,66.0,95.0,64.0
Dani Vivian,Athletic Bilbao,ZAGUEIRO,SPA1,0.56,0.93,1.13,65.0,82.0,78.0
Cristhian Mosquera,Valencia,ZAGUEIRO,SPA1,-0.31,0.57,-1.86,36.0,70.0,9.0
Mika Mármol,Las Palmas,ZAGUEIRO,SPA1,1.44,0.31,1.47,93.0,62.0,86.0
F. Lejeune,Rayo Vallecano,ZAGUEIRO,SPA1,0.1,-1.65,0.99,51.0,11.0,76.0
Pol Moreno,Racing Santander,ZAGUEIRO,SPA2,-3.12,-2.09,-2.65,1.0,5.0,3.0
Kaiky,Albacete,ZAGUEIRO,SPA2,-0.83,-0.78,-1.27,26.0,27.0,26.0
N. Šipčić,Tenerife,ZAGUEIRO,SPA2,-0.14,-0.73,1.37,44.0,29.0,82.0
Víctor Ruíz,Espanyol,ZAGUEIRO,SPA2,1.37,-0.68,2.38,90.0,31.0,88.0
Pedro Capó,Eldense,ZAGUEIRO,SPA2,-2.04,-2.34,1.23,6.0,3.0,79.0
Frederico Venâncio,Eibar,ZAGUEIRO,SPA2,0.26,-2.4,-0.35,56.0,1.0,53.0
Diego Sánchez,Sporting Gijón,ZAGUEIRO,SPA2,1.5,0.04,3.85,92.0,50.0,99.0
Juan Antonio,Albacete,ZAGUEIRO,SPA2,0.3,0.61,0.87,59.0,72.0,72.0
Abraham del Moral,Villarreal B,ZAGUEIRO,SPA2,1.18,1.82,0.25,86.0,95.0,62.0
César Tárrega,Real Valladolid,ZAGUEIRO,SPA2,0.86,3.44,-1.15,78.0,100.0,29.0
Lluis López,Real Zaragoza,ZAGUEIRO,SPA2,-0.51,-0.35,0.35,33.0,40.0,65.0
Pablo Íñiguez,Villarreal B,ZAGUEIRO,SPA2,0.43,0.6,-1.65,63.0,68.0,15.0
Loïc Williams,Tenerife,ZAGUEIRO,SPA2,0.38,2.2,-1.33,60.0,96.0,24.0
Unai Bustinza,Amorebieta,ZAGUEIRO,SPA2,0.55,0.67,2.11,69.0,76.0,87.0
Enrique Clemente,Racing Ferrol,ZAGUEIRO,SPA2,0.89,1.53,1.19,79.0,91.0,77.0
Barbu,Mirandés,ZAGUEIRO,SPA2,-1.04,-1.68,-1.4,19.0,12.0,21.0
Josep Gayá,Amorebieta,ZAGUEIRO,SPA2,0.05,2.61,-1.39,47.0,97.0,22.0
Kiko Olivas,Cartagena,ZAGUEIRO,SPA2,-1.71,0.53,-2.18,13.0,65.0,8.0
Iván Martos,Huesca,ZAGUEIRO,SPA2,0.07,0.54,0.43,49.0,67.0,67.0
Adrià Vilanova,FC Andorra,ZAGUEIRO,SPA2,2.78,-1.4,2.66,99.0,17.0,92.0
Aritz Arambarri,Leganés,ZAGUEIRO,SPA2,0.29,0.03,-1.35,58.0,49.0,23.0
J. Babin,Alcorcón,ZAGUEIRO,SPA2,-0.5,0.6,-2.2,35.0,69.0,6.0
Rúben Vezo,Olympiacos Piraeus,ZAGUEIRO,SPA2,1.34,0.33,0.93,88.0,59.0,73.0
David Costas,Real Oviedo,ZAGUEIRO,SPA2,0.46,0.65,-0.5,64.0,73.0,46.0
Diego González,FC Andorra,ZAGUEIRO,SPA2,3.43,-0.41,2.58,100.0,38.0,90.0
Gonzalo Verdú,Cartagena,ZAGUEIRO,SPA2,-2.57,-1.82,-0.42,3.0,10.0,50.0
Fernando Calero,Espanyol,ZAGUEIRO,SPA2,0.56,1.74,1.23,71.0,92.0,78.0
David Torres,Real Valladolid,ZAGUEIRO,SPA2,1.3,-0.17,-0.6,87.0,44.0,44.0
C. Izquierdoz,Sporting Gijón,ZAGUEIRO,SPA2,-0.98,0.24,3.18,21.0,56.0,95.0
Chema Rodríguez,Alcorcón,ZAGUEIRO,SPA2,-2.33,0.18,2.04,4.0,54.0,86.0
Sergio Postigo,Levante,ZAGUEIRO,SPA2,0.51,-2.02,1.46,65.0,8.0,83.0
Grego Sierra,Burgos,ZAGUEIRO,SPA2,-0.55,-0.33,-1.48,31.0,41.0,19.0
Rubén Alves,Racing Santander,ZAGUEIRO,SPA2,-1.34,0.6,-2.51,15.0,71.0,4.0
Álex Pastor,FC Andorra,ZAGUEIRO,SPA2,0.21,1.01,2.59,54.0,82.0,91.0
José Marsà,FC Andorra,ZAGUEIRO,SPA2,2.72,-0.12,3.54,97.0,46.0,97.0
S. Mouriño,Real Zaragoza,ZAGUEIRO,SPA2,-1.87,0.67,0.03,9.0,74.0,56.0
José León,Tenerife,ZAGUEIRO,SPA2,-0.54,-0.88,-1.01,32.0,23.0,33.0
J. Blasco,Huesca,ZAGUEIRO,SPA2,-0.35,-0.64,-1.61,38.0,32.0,17.0
M. Djetei,Albacete,ZAGUEIRO,SPA2,-0.65,0.43,-1.9,28.0,63.0,10.0
Sergi Gómez,Espanyol,ZAGUEIRO,SPA2,0.63,-1.58,0.03,76.0,13.0,58.0
Piña,Eldense,ZAGUEIRO,SPA2,0.01,-1.02,-2.49,46.0,22.0,5.0
Carlos Hernández,Eldense,ZAGUEIRO,SPA2,-2.19,0.77,-2.68,5.0,77.0,1.0
Xabier Etxeita,Amorebieta,ZAGUEIRO,SPA2,-0.77,-2.05,-1.23,27.0,6.0,27.0
Óscar Rivas,Alcorcón,ZAGUEIRO,SPA2,0.16,2.9,-2.03,51.0,99.0,9.0
S. Leković,Villarreal B,ZAGUEIRO,SPA2,0.6,-1.42,-0.97,72.0,15.0,36.0
Espigares,Villarreal B,ZAGUEIRO,SPA2,-0.96,-1.97,-0.64,23.0,9.0,41.0
Félix Garreta,Amorebieta,ZAGUEIRO,SPA2,0.23,1.52,-0.42,55.0,90.0,51.0
D. Dumić,Eldense,ZAGUEIRO,SPA2,-0.42,-1.42,0.67,37.0,14.0,69.0
Pablo Ínsua,Sporting Gijón,ZAGUEIRO,SPA2,-0.97,-1.19,-0.58,22.0,21.0,45.0
José Amo,Tenerife,ZAGUEIRO,SPA2,-1.08,-0.88,0.26,18.0,24.0,63.0
Mario Gaspar,Elche,ZAGUEIRO,SPA2,1.59,-0.5,-0.87,94.0,37.0,37.0
David Castro,Racing Ferrol,ZAGUEIRO,SPA2,1.02,1.82,-0.6,81.0,94.0,42.0
Adrián de la Fuente,Levante,ZAGUEIRO,SPA2,1.09,1.33,1.01,83.0,86.0,74.0
Germán Sánchez,Racing Santander,ZAGUEIRO,SPA2,-1.61,-0.79,-1.2,14.0,26.0,28.0
Unai Elgezabal,Burgos,ZAGUEIRO,SPA2,0.17,1.51,-1.65,53.0,88.0,14.0
Jair Amador,Real Zaragoza,ZAGUEIRO,SPA2,-0.16,0.05,-1.66,42.0,51.0,13.0
Oier Luengo,Real Oviedo,ZAGUEIRO,SPA2,-0.05,0.46,-1.0,45.0,64.0,35.0
Pedro Bigas,Elche,ZAGUEIRO,SPA2,0.62,-1.37,1.83,74.0,18.0,85.0
Pablo Ramón,Mirandés,ZAGUEIRO,SPA2,1.04,1.3,0.76,82.0,83.0,71.0
Juan Berrocal,Eibar,ZAGUEIRO,SPA2,1.4,-0.06,0.31,91.0,47.0,64.0
Álex Muñoz,Levante,ZAGUEIRO,SPA2,-0.29,0.4,0.24,41.0,62.0,60.0
L. Cabrera,Espanyol,ZAGUEIRO,SPA2,-0.6,-0.56,4.64,29.0,35.0,100.0
Jorge Sáenz,Leganés,ZAGUEIRO,SPA2,0.61,0.35,-0.46,73.0,60.0,47.0
Javi Castro,Alcorcón,ZAGUEIRO,SPA2,-2.02,0.92,-0.8,8.0,79.0,38.0
Jon García,Racing Ferrol,ZAGUEIRO,SPA2,0.38,0.2,1.12,62.0,55.0,76.0
E. Boyomo,Real Valladolid,ZAGUEIRO,SPA2,-0.84,-0.58,-0.24,24.0,33.0,55.0
Alejandro Francés,Real Zaragoza,ZAGUEIRO,SPA2,1.15,0.94,3.02,85.0,81.0,94.0
Alcalá,Cartagena,ZAGUEIRO,SPA2,-1.83,-2.27,-0.43,10.0,4.0,49.0
Jorge Pulido,Huesca,ZAGUEIRO,SPA2,0.54,-0.55,-1.79,67.0,36.0,12.0
Sergio Barcia,Mirandés,ZAGUEIRO,SPA2,0.83,0.32,-1.14,77.0,58.0,31.0
Miguel Loureiro,Huesca,ZAGUEIRO,SPA2,-1.22,1.32,-0.34,17.0,85.0,54.0
Manu Hernando,Racing Santander,ZAGUEIRO,SPA2,-0.44,1.37,-0.78,36.0,87.0,40.0
Cristian Glauder,Albacete,ZAGUEIRO,SPA2,-0.31,0.78,-1.5,40.0,78.0,18.0
Dani Calvo,Real Oviedo,ZAGUEIRO,SPA2,1.82,-0.2,0.2,95.0,42.0,59.0
Anaitz Arbilla,Eibar,ZAGUEIRO,SPA2,2.62,-0.15,1.29,96.0,45.0,81.0
Róber Pier,Sporting Gijón,ZAGUEIRO,SPA2,0.15,0.12,3.18,50.0,53.0,96.0
Sergio González,Leganés,ZAGUEIRO,SPA2,0.54,-0.76,0.64,68.0,28.0,68.0
Aitor Córdoba,Burgos,ZAGUEIRO,SPA2,-1.82,-1.26,-1.03,12.0,19.0,32.0
J. Bångsbo,Al Jazira,ZAGUEIRO,SWE,-2.58,-1.09,3.11,4.0,20.0,94.0
R. Wikström,Mjällby,ZAGUEIRO,SWE,-0.17,0.48,-1.02,44.0,57.0,28.0
M. Lode,Häcken,ZAGUEIRO,SWE,0.74,0.56,0.15,70.0,61.0,63.0
A. Douglas,Västerås SK,ZAGUEIRO,SWE,-0.45,2.3,0.31,35.0,93.0,69.0
M. Watson,IFK Norrköping,ZAGUEIRO,SWE,0.49,1.1,-0.68,67.0,83.0,41.0
R. Frej,GAIS,ZAGUEIRO,SWE,-1.36,0.63,-1.08,17.0,63.0,24.0
J. Hammar,Häcken,ZAGUEIRO,SWE,0.64,-0.07,2.23,69.0,50.0,91.0
M. Tenho,Djurgården,ZAGUEIRO,SWE,-0.08,-2.18,-1.11,48.0,6.0,22.0
T. Carlsson,Sirius,ZAGUEIRO,SWE,0.96,-0.5,1.8,76.0,41.0,87.0
A. Abrahamsson,Brommapojkarna,ZAGUEIRO,SWE,0.77,1.36,4.43,74.0,89.0,100.0
N. Adjei,Lorient,ZAGUEIRO,SWE,0.35,0.85,-0.87,61.0,78.0,31.0
S. Korač,Vojvodina,ZAGUEIRO,SWE,-0.99,3.6,-2.5,20.0,100.0,6.0
A. Calisir,Brommapojkarna,ZAGUEIRO,SWE,1.01,0.78,-0.01,78.0,70.0,59.0
G. Wallentin,Halmstad,ZAGUEIRO,SWE,-0.87,-1.09,-2.53,22.0,22.0,4.0
M. Olsson,Malmö FF,ZAGUEIRO,SWE,0.26,-1.63,-0.46,57.0,13.0,48.0
N. Dahlström,Varbergs,ZAGUEIRO,SWE,-0.72,0.91,-2.56,26.0,80.0,2.0
B. Tiedemann Hansen,AIK,ZAGUEIRO,SWE,1.52,-1.65,0.66,94.0,11.0,76.0
N. Eile,New York RB,ZAGUEIRO,SWE,0.19,-0.04,0.7,54.0,54.0,78.0
K. Mammar,Degerfors,ZAGUEIRO,SWE,-2.66,-0.63,-0.86,2.0,37.0,33.0
J. Löfgren,Luzern,ZAGUEIRO,SWE,-0.09,-0.16,0.65,46.0,48.0,74.0
J. Lindner,Varbergs,ZAGUEIRO,SWE,-0.51,2.71,-0.66,31.0,96.0,43.0
A. Milošević,AIK,ZAGUEIRO,SWE,-0.41,-3.47,0.14,37.0,2.0,61.0
S. Ohlsson,Degerfors,ZAGUEIRO,SWE,-1.38,0.93,-0.45,13.0,81.0,50.0
H. Zackrisson,Varbergs,ZAGUEIRO,SWE,-1.36,2.57,-0.76,15.0,94.0,35.0
J. Une-Larsson,Djurgården,ZAGUEIRO,SWE,-1.49,-1.49,-1.27,9.0,19.0,15.0
M. Fenger,Hammarby,ZAGUEIRO,SWE,1.2,-1.84,0.19,89.0,9.0,67.0
I. Buhari,Elfsborg,ZAGUEIRO,SWE,0.37,-0.43,-0.64,63.0,43.0,46.0
M. Lund,Diósgyőr,ZAGUEIRO,SWE,-0.48,0.75,0.87,33.0,67.0,81.0
K. Ackermann,Brommapojkarna,ZAGUEIRO,SWE,1.16,0.78,-0.22,85.0,72.0,54.0
E. Grozdanić,Värnamo,ZAGUEIRO,SWE,1.02,0.75,0.8,80.0,69.0,80.0
V. Eriksson,Minnesota United,ZAGUEIRO,SWE,2.38,2.75,-1.29,100.0,98.0,13.0
G. Granath,Vejle,ZAGUEIRO,SWE,-0.68,0.11,-0.75,28.0,56.0,37.0
S. Pinas,Hammarby,ZAGUEIRO,SWE,0.46,0.82,4.03,65.0,76.0,98.0
M. Jeng,Sirius,ZAGUEIRO,SWE,0.34,-0.71,-1.21,59.0,35.0,17.0
A. Sögaard,IFK Norrköping,ZAGUEIRO,SWE,1.28,-0.8,-1.63,93.0,30.0,7.0
T. Pettersson,Mjällby,ZAGUEIRO,SWE,-0.82,-0.73,1.5,24.0,33.0,85.0
A. Brorsson,Mjällby,ZAGUEIRO,SWE,0.16,1.41,-1.61,52.0,91.0,9.0
A. Johansson,Halmstad,ZAGUEIRO,SWE,-1.65,-0.88,-1.03,6.0,26.0,26.0
E. Kurtulus,Hammarby,ZAGUEIRO,SWE,1.07,-0.17,3.69,81.0,46.0,96.0
D. Cornelius,Malmö FF,ZAGUEIRO,SWE,1.95,0.78,-0.93,98.0,74.0,30.0
P. Jansson,Malmö FF,ZAGUEIRO,SWE,0.26,-0.96,-1.51,56.0,24.0,11.0
A. Eriksson,IFK Norrköping,ZAGUEIRO,SWE,0.75,1.27,-0.72,72.0,87.0,39.0
S. Hausner,IFK Göteborg,ZAGUEIRO,SWE,-0.2,-0.06,-0.65,43.0,52.0,44.0
M. Danielson,Djurgården,ZAGUEIRO,SWE,-0.29,-0.59,-0.11,41.0,39.0,56.0
E. Hovland,Häcken,ZAGUEIRO,SWE,-0.4,1.11,2.11,39.0,85.0,89.0
H. Castegren,Sirius,ZAGUEIRO,SWE,1.2,0.73,2.35,87.0,65.0,93.0
C. Rösler,Mjällby,ZAGUEIRO,SWE,-1.28,-0.81,-0.23,19.0,28.0,52.0
J. Baffo,Halmstad,ZAGUEIRO,SWE,-1.41,-1.59,-1.17,11.0,15.0,19.0
S. Holmén,Elfsborg,ZAGUEIRO,SWE,-0.58,-1.52,0.17,30.0,17.0,65.0
S. Papagiannopoulos,AIK,ZAGUEIRO,SWE,1.26,-0.32,-1.14,91.0,44.0,20.0
R. Sjöstedt,Kalmar,ZAGUEIRO,SWE,1.69,-2.24,-0.09,96.0,4.0,57.0
T. Heggem,Brommapojkarna,ZAGUEIRO,SWE,-1.56,0.52,0.45,7.0,59.0,72.0
G. Svensson,IFK Göteborg,ZAGUEIRO,SWE,-0.05,-0.77,1.03,50.0,31.0,83.0
L. Sætra,Kalmar,ZAGUEIRO,SWE,1.08,-2.1,0.4,83.0,7.0,70.0
J. Adjetey,Basel,ZAGUEIRO,SWZ,0.7,1.36,-2.48,76.0,89.0,4.0
I. Beka,Luzern,ZAGUEIRO,SWZ,-0.21,3.09,2.13,39.0,100.0,91.0
Y. Schmid,Winterthur,ZAGUEIRO,SWZ,-0.93,-0.21,-1.21,15.0,43.0,30.0
D. Ouedraogo,Stade Lausanne-Ouchy,ZAGUEIRO,SWZ,1.27,1.98,-0.11,91.0,96.0,52.0
D. Kamenović,Yverdon Sport,ZAGUEIRO,SWZ,-0.26,0.68,-1.84,35.0,72.0,11.0
F. Lustenberger,Young Boys,ZAGUEIRO,SWZ,1.71,-0.37,2.3,96.0,39.0,93.0
G. Szalai,Lausanne Sport,ZAGUEIRO,SWZ,-2.0,-1.26,0.67,9.0,15.0,63.0
A. El Wafi,Lugano,ZAGUEIRO,SWZ,1.01,-2.07,0.75,87.0,7.0,65.0
Christian Marques,Yverdon Sport,ZAGUEIRO,SWZ,-0.49,0.1,-1.35,28.0,52.0,26.0
N. Gunnarsson,Yverdon Sport,ZAGUEIRO,SWZ,-0.88,-2.22,-0.8,20.0,4.0,39.0
M. Kryeziu,Zürich,ZAGUEIRO,SWZ,0.01,-0.14,1.16,50.0,46.0,72.0
B. Dabanlı,Lausanne Sport,ZAGUEIRO,SWZ,0.49,-2.7,-0.73,67.0,2.0,41.0
L. Benito,Young Boys,ZAGUEIRO,SWZ,0.76,0.14,1.98,78.0,54.0,87.0
S. Camara,Stade Lausanne-Ouchy,ZAGUEIRO,SWZ,-1.23,1.04,-2.09,13.0,85.0,9.0
A. Diaby,St. Gallen,ZAGUEIRO,SWZ,-0.52,0.41,-0.94,26.0,65.0,35.0
F. Daprelà,Zürich,ZAGUEIRO,SWZ,-0.12,-1.06,-1.52,46.0,22.0,20.0
J. Laws,Grasshopper,ZAGUEIRO,SWZ,0.99,-0.38,1.81,85.0,37.0,85.0
J. Löfgren,Luzern,ZAGUEIRO,SWZ,-2.04,-0.51,-0.69,7.0,30.0,46.0
A. Barišić,Basel,ZAGUEIRO,SWZ,0.55,1.39,1.46,70.0,91.0,76.0
K. Hajrizi,Lugano,ZAGUEIRO,SWZ,2.02,0.93,-1.3,100.0,80.0,28.0
A. Husic,Young Boys,ZAGUEIRO,SWZ,0.04,-0.6,1.66,52.0,26.0,80.0
G. Lekaj,Winterthur,ZAGUEIRO,SWZ,1.14,0.4,0.79,89.0,63.0,67.0
J. Stanić,St. Gallen,ZAGUEIRO,SWZ,0.28,0.44,-1.38,57.0,67.0,22.0
M. Paskotsi,Grasshopper,ZAGUEIRO,SWZ,-0.26,-0.39,-2.09,30.0,35.0,7.0
A. Amenda,Young Boys,ZAGUEIRO,SWZ,0.86,-0.1,2.12,80.0,48.0,89.0
R. Kadima,Stade Lausanne-Ouchy,ZAGUEIRO,SWZ,0.39,1.47,-1.54,59.0,93.0,17.0
D. Simani,Luzern,ZAGUEIRO,SWZ,-0.15,1.03,-0.47,43.0,83.0,48.0
L. Pos,Stade Lausanne-Ouchy,ZAGUEIRO,SWZ,1.35,0.81,-1.04,93.0,76.0,33.0
M. Tijani,Yverdon Sport,ZAGUEIRO,SWZ,-0.0,-0.55,-0.27,48.0,28.0,50.0
F. van Breemen,Basel,ZAGUEIRO,SWZ,-0.92,-1.1,1.21,17.0,20.0,74.0
R. Arnold,Winterthur,ZAGUEIRO,SWZ,0.44,1.16,-0.8,61.0,87.0,37.0
D. Del Fabro,Yverdon Sport,ZAGUEIRO,SWZ,-0.19,0.19,-3.47,41.0,59.0,2.0
L. Jaquez,Luzern,ZAGUEIRO,SWZ,0.47,0.53,0.98,65.0,70.0,70.0
K. Tobers,Grasshopper,ZAGUEIRO,SWZ,-0.23,-0.34,-1.71,37.0,41.0,13.0
L. Mai,Lugano,ZAGUEIRO,SWZ,1.99,0.74,1.79,98.0,74.0,83.0
M. Camara,Young Boys,ZAGUEIRO,SWZ,-1.65,-1.19,2.41,11.0,17.0,96.0
A. Hajdari,Lugano,ZAGUEIRO,SWZ,0.65,0.25,-0.03,74.0,61.0,57.0
F. Frei,Basel,ZAGUEIRO,SWZ,-0.26,-1.36,3.23,33.0,13.0,100.0
A. Seko,Grasshopper,ZAGUEIRO,SWZ,0.63,-0.67,0.33,72.0,24.0,59.0
N. Dussenne,Lausanne Sport,ZAGUEIRO,SWZ,0.44,0.18,2.61,63.0,57.0,98.0
Y. Severin,Servette,ZAGUEIRO,SWZ,-0.75,-1.67,-0.04,24.0,11.0,54.0
S. Rouiller,Servette,ZAGUEIRO,SWZ,0.97,2.05,0.59,83.0,98.0,61.0
N. Katić,Zürich,ZAGUEIRO,SWZ,-2.27,-0.01,-1.65,4.0,50.0,15.0
L. Hajrulahu,Stade Lausanne-Ouchy,ZAGUEIRO,SWZ,-3.13,-2.0,-1.36,2.0,9.0,24.0
L. Kamberi,Zürich,ZAGUEIRO,SWZ,-0.85,-0.4,-0.7,22.0,33.0,43.0
A. Vallci,St. Gallen,ZAGUEIRO,SWZ,0.19,0.92,1.63,54.0,78.0,78.0
S. Aziz,Fenerbahçe,ZAGUEIRO,TUR,1.89,-0.07,-0.24,96.0,49.0,44.0
F. Damjanović,Konyaspor,ZAGUEIRO,TUR,0.04,-0.73,-1.74,48.0,32.0,18.0
B. Yılmaz,Hatayspor,ZAGUEIRO,TUR,-1.4,0.38,-3.22,15.0,63.0,3.0
J. Jeanvier,Kayserispor,ZAGUEIRO,TUR,-1.41,-1.46,0.03,14.0,14.0,49.0
T. Hadebe,Konyaspor,ZAGUEIRO,TUR,-1.91,-1.83,-1.82,7.0,10.0,14.0
C. Söyüncü,Fenerbahçe,ZAGUEIRO,TUR,0.71,-0.6,-0.52,73.0,37.0,36.0
M. Çetin,Ankaragücü,ZAGUEIRO,TUR,-0.86,-0.46,0.06,27.0,42.0,51.0
J. Rassoul,Pendikspor,ZAGUEIRO,TUR,-0.42,-1.24,-1.64,36.0,21.0,19.0
D. Amartey,Beşiktaş,ZAGUEIRO,TUR,-0.02,-0.99,-0.56,45.0,29.0,34.0
M. Hosseini,Kayserispor,ZAGUEIRO,TUR,1.52,1.56,0.66,90.0,90.0,67.0
F. Aksoy,Alanyaspor,ZAGUEIRO,TUR,0.41,0.88,1.98,62.0,75.0,89.0
F. Benković,Trabzonspor,ZAGUEIRO,TUR,-1.43,-1.14,-2.93,11.0,23.0,4.0
Rodrigo Becão,Fenerbahçe,ZAGUEIRO,TUR,-1.09,-2.17,-0.47,25.0,7.0,40.0
B. Bekaroğlu,Iğdır FK,ZAGUEIRO,TUR,-1.27,-0.53,0.3,21.0,40.0,55.0
R. Coly,İstanbulspor,ZAGUEIRO,TUR,0.02,0.87,-0.17,47.0,73.0,47.0
J. Porozo,Kasımpaşa,ZAGUEIRO,TUR,-0.24,1.11,-1.77,40.0,82.0,15.0
Nuno Lima,Alanyaspor,ZAGUEIRO,TUR,1.32,-0.3,4.01,85.0,45.0,100.0
A. Poungouras,Sivasspor,ZAGUEIRO,TUR,-1.39,-0.28,-0.2,16.0,47.0,45.0
S. Dursun,Fatih Karagümrük,ZAGUEIRO,TUR,0.47,-1.17,0.98,68.0,22.0,73.0
S. Çiftpınar,Kasımpaşa,ZAGUEIRO,TUR,-1.47,-0.75,-2.64,10.0,30.0,5.0
H. Aliqulov,Rizespor,ZAGUEIRO,TUR,-1.31,1.67,0.43,18.0,92.0,60.0
B. Sülüngöz,Pendikspor,ZAGUEIRO,TUR,0.25,0.79,-0.72,56.0,71.0,33.0
N. Maksimović,Hatayspor,ZAGUEIRO,TUR,0.21,-1.62,1.08,55.0,11.0,77.0
E. Ersoy,Gaziantep,ZAGUEIRO,TUR,-0.66,0.26,-2.12,30.0,60.0,11.0
B. Öztürk,Antalyaspor,ZAGUEIRO,TUR,1.5,0.88,-2.25,89.0,74.0,8.0
I. Drešević,Machida Zelvia,ZAGUEIRO,TUR,0.41,1.12,1.16,63.0,84.0,78.0
D. Sánchez,Galatasaray,ZAGUEIRO,TUR,1.93,1.3,2.41,97.0,85.0,95.0
F. Calvo,Juárez,ZAGUEIRO,TUR,1.89,0.95,2.37,95.0,77.0,93.0
D. Kolovetsios,Kayserispor,ZAGUEIRO,TUR,-0.93,-2.91,-1.58,26.0,1.0,21.0
O. Ba,İstanbul Başakşehir,ZAGUEIRO,TUR,2.06,3.89,-1.48,100.0,99.0,22.0
Ö. Toprak,Antalyaspor,ZAGUEIRO,TUR,-0.56,-0.73,-0.8,33.0,34.0,32.0
A. Öztürk,Pendikspor,ZAGUEIRO,TUR,-1.3,0.11,2.89,19.0,56.0,97.0
A. Kocaman,Kayserispor,ZAGUEIRO,TUR,-2.23,0.42,-1.77,4.0,66.0,16.0
A. Öztürk,Samsunspor,ZAGUEIRO,TUR,-1.15,0.41,-1.39,23.0,64.0,25.0
S. Camara,Sivasspor,ZAGUEIRO,TUR,-0.4,1.89,-1.35,37.0,93.0,26.0
J. Oosterwolde,Fenerbahçe,ZAGUEIRO,TUR,1.0,-1.38,0.44,81.0,15.0,62.0
F. Ceccherini,Fatih Karagümrük,ZAGUEIRO,TUR,-0.79,0.25,-1.28,29.0,59.0,27.0
O. Colley,Beşiktaş,ZAGUEIRO,TUR,2.03,-0.03,1.26,99.0,52.0,79.0
A. Mocsi,Rizespor,ZAGUEIRO,TUR,-2.29,1.42,0.1,3.0,89.0,52.0
A. Djiku,Fenerbahçe,ZAGUEIRO,TUR,0.86,-0.03,1.42,75.0,53.0,82.0
K. Omeruo,Kasımpaşa,ZAGUEIRO,TUR,-0.18,1.02,1.0,41.0,78.0,74.0
R. Baniya,Trabzonspor,ZAGUEIRO,TUR,0.45,0.01,-2.23,66.0,55.0,10.0
L. Šatka,Samsunspor,ZAGUEIRO,TUR,-0.15,0.69,0.55,42.0,67.0,64.0
S. Denswil,Trabzonspor,ZAGUEIRO,TUR,0.86,-2.21,1.74,77.0,5.0,88.0
Welinton,Pendikspor,ZAGUEIRO,TUR,1.31,3.58,0.37,84.0,97.0,58.0
A. Demirbağ,Konyaspor,ZAGUEIRO,TUR,0.05,-0.73,-1.88,49.0,33.0,12.0
F. Bayır,Alanyaspor,ZAGUEIRO,TUR,-0.31,-0.58,1.03,38.0,38.0,75.0
R. van Drongelen,Samsunspor,ZAGUEIRO,TUR,0.94,1.07,3.35,79.0,81.0,99.0
S. Deli,İstanbulspor,ZAGUEIRO,TUR,0.38,0.17,0.63,59.0,58.0,66.0
A. Bardakcı,Galatasaray,ZAGUEIRO,TUR,1.74,0.78,2.01,92.0,70.0,90.0
N. Uysal,Beşiktaş,ZAGUEIRO,TUR,0.62,-0.34,2.76,70.0,44.0,96.0
J. Opoku,İstanbul Başakşehir,ZAGUEIRO,TUR,1.11,-1.03,0.92,82.0,27.0,71.0
J. Attamah,Kayserispor,ZAGUEIRO,TUR,0.44,-1.89,-0.36,64.0,8.0,42.0
A. Kızıldağ,Gaziantep,ZAGUEIRO,TUR,-1.16,-0.18,-1.42,22.0,48.0,23.0
O. Erdoğan,İstanbulspor,ZAGUEIRO,TUR,-1.68,1.4,0.34,8.0,86.0,56.0
C. Osmanpaşa,Sivasspor,ZAGUEIRO,TUR,0.32,2.27,-2.31,58.0,95.0,7.0
A. Appindangoyé,Sivasspor,ZAGUEIRO,TUR,-0.52,-1.06,-1.03,34.0,26.0,29.0
B. Mendy,Trabzonspor,ZAGUEIRO,TUR,0.11,-2.54,0.1,51.0,4.0,53.0
V. Nelsson,Galatasaray,ZAGUEIRO,TUR,1.46,-0.06,0.87,88.0,51.0,70.0
A. Gravillon,Adana Demirspor,ZAGUEIRO,TUR,0.14,-1.26,0.72,52.0,18.0,68.0
E. Topçu,Rizespor,ZAGUEIRO,TUR,0.46,3.94,1.32,67.0,100.0,81.0
Léo Duarte,İstanbul Başakşehir,ZAGUEIRO,TUR,1.41,0.37,0.4,86.0,62.0,59.0
D. Biraschi,Fatih Karagümrük,ZAGUEIRO,TUR,0.93,1.41,2.34,78.0,88.0,92.0
N. Nkoulou,Gaziantep,ZAGUEIRO,TUR,-1.41,-2.56,-3.22,12.0,3.0,1.0
M. Yeşil,İstanbulspor,ZAGUEIRO,TUR,-0.57,1.03,-0.0,32.0,79.0,48.0
S. Güler,Adana Demirspor,ZAGUEIRO,TUR,-1.92,-1.53,1.59,5.0,12.0,85.0
